NO.,URL,PAGE TITLE,COMMENTS
1,gla.ac.uk/myglasgow/students/money/paymentmethods/index.html,"University of Glasgow - MyGlasgow - MyGlasgow Students - Student finance, records & documents - Payment methods",Single page that could be adapted
2,gla.ac.uk/myglasgow/students/sset/transcripts/index.html,University of Glasgow - MyGlasgow - MyGlasgow Students - Student Services Enquiry Team - Transcripts (HEAR),Single page that could be adapted
3,gla.ac.uk/myglasgow/students/sset/certifyingletters/index.html,University of Glasgow - MyGlasgow - MyGlasgow Students - Student Services Enquiry Team - Certifying Letters,Single page that could be adapted
4,gla.ac.uk/myglasgow/students/sset/counciltax/index.html,University of Glasgow - MyGlasgow - MyGlasgow Students - Student Services Enquiry Team - Council Tax Exemption,Single page that could be adapted
5,gla.ac.uk/myglasgow/students/sset/campuscards/index.html,University of Glasgow - MyGlasgow - MyGlasgow Students - Student Services Enquiry Team - Student Campus Cards,Single page that could be adapted
6,gla.ac.uk/myglasgow/students/goabroad/goabroadforsummer/index.html,University of Glasgow - MyGlasgow - MyGlasgow Students - Go Abroad - Go Abroad for Summer,Single page that could be adapted
7,gla.ac.uk/myglasgow/students/safetyhealth/healthservices/index.html,"University of Glasgow - MyGlasgow - MyGlasgow Students - Safety, health & wellbeing - Health services",Single page that could be adapted
8,gla.ac.uk/myglasgow/students/exams/types/in-person/index.html,University of Glasgow - MyGlasgow - MyGlasgow Students - Exams - Types - In-person,Single page that could be adapted
9,gla.ac.uk/myglasgow/students/exams/misconductinexams/misconductinonlineexams/index.html,University of Glasgow - MyGlasgow - MyGlasgow Students - Exams - Misconduct in Exams - Misconduct in Online Exams,Single page that could be adapted
10,gla.ac.uk/myglasgow/students/exams/checklist/index.html,University of Glasgow - MyGlasgow - MyGlasgow Students - Exams - Exam Checklist,Single page that could be adapted
11,gla.ac.uk/myglasgow/students/goabroad/eligibility/index.html,University of Glasgow - MyGlasgow - MyGlasgow Students - Go Abroad - Eligibility,Single page that could be adapted
12,gla.ac.uk/myglasgow/students/new/study/index.html,University of Glasgow - MyGlasgow - MyGlasgow Students - New students - Study,Single page that could be adapted
13,gla.ac.uk/myglasgow/students/sset/personalinformation/index.html,University of Glasgow - MyGlasgow - MyGlasgow Students - Student Services Enquiry Team - Personal Information Updates,Single page that could be adapted
14,gla.ac.uk/myglasgow/students/sset/forms/index.html,University of Glasgow - MyGlasgow - MyGlasgow Students - Student Services Enquiry Team - Forms,Single page that could be adapted
